biotype,symbol,cytoband/0,name,gene_id,is_cancer_gene_census,cytoband/1,cytoband/2
protein_coding,DEFB126,20p13,"defensin, beta 126",ENSG00000125788,,,
protein_coding,RAD18,3p25.3,RAD18 E3 ubiquitin protein ligase,ENSG00000070950,,,
protein_coding,TMPRSS7,3q13.2,"transmembrane protease, serine 7",ENSG00000176040,,,
protein_coding,TNNI2,11p15.5,"troponin I type 2 (skeletal, fast)",ENSG00000130598,,,
lincRNA,AC011525.2,19q12,AC011525.2,ENSG00000261400,,,
lincRNA,LINC01595,19q13.33,LINC01595,ENSG00000259108,,,
protein_coding,AGBL4,1p33,ATP/GTP binding protein-like 4,ENSG00000186094,,,
protein_coding,PRB3,12p13.2,proline-rich protein BstNI subfamily 3,ENSG00000197870,,,
protein_coding,SAA2,11p15.1,serum amyloid A2,ENSG00000134339,,,
protein_coding,COA1,7p13,cytochrome c oxidase assembly factor 1 homolog (S. cerevisiae),ENSG00000106603,,,
protein_coding,KRBA1,7q36.1,KRAB-A domain containing 1,ENSG00000133619,,,
protein_coding,IFT52,20q13.12,intraflagellar transport 52,ENSG00000101052,,,
protein_coding,OSTC,4q25,oligosaccharyltransferase complex subunit (non-catalytic),ENSG00000198856,,,
protein_coding,DMRT1,9p24.3,doublesex and mab-3 related transcription factor 1,ENSG00000137090,,,
protein_coding,SH3KBP1,Xp22.12,SH3-domain kinase binding protein 1,ENSG00000147010,,,
transcribed_unprocessed_pseudogene,AP000619.5,11q22.2,AP000619.5,ENSG00000225678,,,
unprocessed_pseudogene,AKR1C6P,10p15.1,"aldo-keto reductase family 1, member C6, pseudogene",ENSG00000151631,,,
protein_coding,GSTK1,7q34,glutathione S-transferase kappa 1,ENSG00000197448,,,
protein_coding,TP53BP2,1q41,tumor protein p53 binding protein 2,ENSG00000143514,,,
protein_coding,CD163L1,12p13.31,CD163 molecule-like 1,ENSG00000177675,,,
protein_coding,ACADM,1p31.1,"acyl-CoA dehydrogenase, C-4 to C-12 straight chain",ENSG00000117054,,,
protein_coding,NAP1L1,12q21.2,nucleosome assembly protein 1-like 1,ENSG00000187109,,,
protein_coding,NLRP14,11p15.4,"NLR family, pyrin domain containing 14",ENSG00000158077,,,
protein_coding,AMDHD2,16p13.3,amidohydrolase domain containing 2,ENSG00000162066,,,
protein_coding,APIP,11p13,APAF1 interacting protein,ENSG00000149089,,,
protein_coding,DXO,6p21.33,decapping exoribonuclease,ENSG00000204348,,,
protein_coding,TTBK1,6p21.1,tau tubulin kinase 1,ENSG00000146216,,,
protein_coding,MIPEP,13q12.12,mitochondrial intermediate peptidase,ENSG00000027001,,,
protein_coding,TNRC18,7p22.1,trinucleotide repeat containing 18,ENSG00000182095,,,
protein_coding,STPG1,1p36.11,sperm-tail PG-rich repeat containing 1,ENSG00000001460,,,
lincRNA,RP11-481J13.1,2p16.1,RP11-481J13.1,ENSG00000272180,,,
protein_coding,RAE1,20q13.31,ribonucleic acid export 1,ENSG00000101146,,,
protein_coding,CLIC5,6p21.1,chloride intracellular channel 5,ENSG00000112782,,,
protein_coding,ZBTB6,9q33.2,zinc finger and BTB domain containing 6,ENSG00000186130,,,
protein_coding,ALDH6A1,14q24.3,"aldehyde dehydrogenase 6 family, member A1",ENSG00000119711,,,
protein_coding,ST6GAL2,2q12.3,"ST6 beta-galactosamide alpha-2,6-sialyltranferase 2",ENSG00000144057,,,
miRNA,AL590726.1,,AL590726.1,ENSG00000211510,,,
protein_coding,PLCXD1,Xp22.33,"phosphatidylinositol-specific phospholipase C, X domain containing 1",ENSG00000182378,,,
protein_coding,RAB3IL1,11q12.2,RAB3A interacting protein (rabin3)-like 1,ENSG00000167994,,11q12.3,
protein_coding,DDX10,11q22.3,DEAD (Asp-Glu-Ala-Asp) box polypeptide 10,ENSG00000178105,true,,
protein_coding,MYO18A,17q11.2,myosin XVIIIA,ENSG00000196535,,,
protein_coding,ATP2C2,16q24.1,"ATPase, Ca++ transporting, type 2C, member 2",ENSG00000064270,,,
protein_coding,RUNX2,6p21.1,runt-related transcription factor 2,ENSG00000124813,,,
protein_coding,CLPP,19p13.3,caseinolytic mitochondrial matrix peptidase proteolytic subunit,ENSG00000125656,,,
protein_coding,AARS,16q22.1,alanyl-tRNA synthetase,ENSG00000090861,,,
protein_coding,IGFALS,16p13.3,"insulin-like growth factor binding protein, acid labile subunit",ENSG00000099769,,,
protein_coding,SLC16A1,1p13.2,"solute carrier family 16 (monocarboxylate transporter), member 1",ENSG00000155380,,,
protein_coding,ZCWPW1,7q22.1,"zinc finger, CW type with PWWP domain 1",ENSG00000078487,,,
lincRNA,LINC00458,13q14.3,long intergenic non-protein coding RNA 458,ENSG00000234787,,,
protein_coding,ELK1,Xp11.23,"ELK1, member of ETS oncogene family",ENSG00000126767,,,
protein_coding,SAP30L,5q33.2,SAP30-like,ENSG00000164576,,,
miRNA,MIR34A,,microRNA 34a,ENSG00000207865,,,
protein_coding,ZNF84,12q24.33,zinc finger protein 84,ENSG00000198040,,,
lincRNA,LINC01556,6p22.1,long intergenic non-protein coding RNA 1556,ENSG00000204709,,,
transcribed_unprocessed_pseudogene,MST1L,1p36.13,macrophage stimulating 1-like,ENSG00000186715,,,
protein_coding,CLEC19A,16p12.3,"C-type lectin domain family 19, member A",ENSG00000261210,,,
protein_coding,SULT1C3,2q12.3,"sulfotransferase family, cytosolic, 1C, member 3",ENSG00000196228,,,
miRNA,MIR323A,14q32.31,microRNA 323a,ENSG00000199069,,,
miRNA,MIR30C2,6q13,microRNA 30c-2,ENSG00000199094,,,
protein_coding,ASB11,Xp22.2,"ankyrin repeat and SOCS box containing 11, E3 ubiquitin protein ligase",ENSG00000165192,,,
miRNA,MIR512-1,19q13.42,microRNA 512-1,ENSG00000207645,,,
protein_coding,HABP2,10q25.3,hyaluronan binding protein 2,ENSG00000148702,,,
protein_coding,TMEM74,8q23.1,transmembrane protein 74,ENSG00000164841,,,
protein_coding,VN1R4,19q13.42,vomeronasal 1 receptor 4,ENSG00000228567,,,
lincRNA,RP11-100E5.2,17q21.31,RP11-100E5.2,ENSG00000267151,,,
protein_coding,PAXBP1,21q22.11,PAX3 and PAX7 binding protein 1,ENSG00000159086,,,
snoRNA,SNORD115-35,15q11.2,"small nucleolar RNA, C/D box 115-35",ENSG00000201992,,,
protein_coding,LBX2,2p13.1,ladybird homeobox 2,ENSG00000179528,,,
protein_coding,TMEM247,2p21,transmembrane protein 247,ENSG00000187600,,,
antisense,AC016629.3,19q13.43,AC016629.3,ENSG00000269600,,,
protein_coding,UBXN6,19p13.3,UBX domain protein 6,ENSG00000167671,,,
protein_coding,KIAA0586,14q23.1,KIAA0586,ENSG00000100578,,,
TEC,RP11-467L19.14,15q11.2,RP11-467L19.14,ENSG00000279628,,,
protein_coding,CBWD3,9q21.11,COBW domain containing 3,ENSG00000196873,,,
protein_coding,SCX,8q24.3,scleraxis basic helix-loop-helix transcription factor,ENSG00000260428,,,
lincRNA,RP11-706O15.3,Xp22.33,RP11-706O15.3,ENSG00000234449,,,
lincRNA,LINC01169,15q22.31,long intergenic non-protein coding RNA 1169,ENSG00000259471,,,
protein_coding,TBCA,5q14.1,tubulin folding cofactor A,ENSG00000171530,,,
protein_coding,DHRS9,2q31.1,dehydrogenase/reductase (SDR family) member 9,ENSG00000073737,,,
protein_coding,TM6SF1,15q25.2,transmembrane 6 superfamily member 1,ENSG00000136404,,,
IG_V_gene,IGLV5-45,22q11.22,immunoglobulin lambda variable 5-45,ENSG00000211650,,,
protein_coding,HK2,2p12,hexokinase 2,ENSG00000159399,,,
protein_coding,TESC,12q24.22,tescalcin,ENSG00000088992,,,
protein_coding,TTLL3,3p25.3,tubulin tyrosine ligase-like family member 3,ENSG00000214021,,,
protein_coding,GAGE12C,Xp11.23,G antigen 12C,ENSG00000237671,,,
protein_coding,HDLBP,2q37.3,high density lipoprotein binding protein,ENSG00000115677,,,
protein_coding,ASB15,7q31.32,ankyrin repeat and SOCS box containing 15,ENSG00000146809,,,
protein_coding,SLC33A1,3q25.31,"solute carrier family 33 (acetyl-CoA transporter), member 1",ENSG00000169359,,,
protein_coding,PDLIM4,5q31.1,PDZ and LIM domain 4,ENSG00000131435,,,
protein_coding,TENM1,Xq25,teneurin transmembrane protein 1,ENSG00000009694,,,
protein_coding,CNTNAP3B,9p11.2,contactin associated protein-like 3B,ENSG00000154529,,,
protein_coding,PPP2R5A,1q32.3,"protein phosphatase 2, regulatory subunit B', alpha",ENSG00000066027,,,
protein_coding,C2orf74,2p15,chromosome 2 open reading frame 74,ENSG00000237651,,,
protein_coding,TTR,18q12.1,transthyretin,ENSG00000118271,,,
protein_coding,SPN,16p11.2,sialophorin,ENSG00000197471,,,
protein_coding,DIMT1,5q12.1,DIM1 dimethyladenosine transferase 1 homolog (S. cerevisiae),ENSG00000086189,,,
protein_coding,OR2D3,11p15.4,"olfactory receptor, family 2, subfamily D, member 3",ENSG00000178358,,,
protein_coding,C10orf62,10q24.2,chromosome 10 open reading frame 62,ENSG00000203942,,,
protein_coding,NFASC,1q32.1,neurofascin,ENSG00000163531,,,
lincRNA,RP11-983C2.2,12q24.32,RP11-983C2.2,ENSG00000249873,,,
protein_coding,ETV1,7p21.2,ets variant 1,ENSG00000006468,true,,
protein_coding,USP8,15q21.2,ubiquitin specific peptidase 8,ENSG00000138592,true,,
protein_coding,MAEA,4p16.3,macrophage erythroblast attacher,ENSG00000090316,,,
protein_coding,TNS3,7p12.3,tensin 3,ENSG00000136205,,,
protein_coding,FO538757.2,1p36.33,FO538757.2,ENSG00000279457,,,
protein_coding,MFNG,22q13.1,MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,ENSG00000100060,,,
protein_coding,OXCT1,5p13.1,3-oxoacid CoA transferase 1,ENSG00000083720,,,
protein_coding,ZNF559,19p13.2,zinc finger protein 559,ENSG00000188321,,,
protein_coding,CSN3,4q13.3,casein kappa,ENSG00000171209,,,
protein_coding,HAPLN1,5q14.3,hyaluronan and proteoglycan link protein 1,ENSG00000145681,,,
protein_coding,FBXW4,10q24.32,F-box and WD repeat domain containing 4,ENSG00000107829,,,
lincRNA,RP11-63E5.6,8p23.3,RP11-63E5.6,ENSG00000249868,,,
TR_V_gene,TRDV1,14q11.2,T cell receptor delta variable 1,ENSG00000211804,,,
protein_coding,ITGB5,3q21.2,"integrin, beta 5",ENSG00000082781,,,
protein_coding,SLC22A12,11q13.1,"solute carrier family 22 (organic anion/urate transporter), member 12",ENSG00000197891,,,
protein_coding,BTBD6,14q32.33,BTB (POZ) domain containing 6,ENSG00000184887,,,
IG_V_gene,IGLV8-61,22q11.22,immunoglobulin lambda variable 8-61,ENSG00000211638,,,
protein_coding,MUC16,19p13.2,"mucin 16, cell surface associated",ENSG00000181143,,,
protein_coding,PRPH,12q13.12,peripherin,ENSG00000135406,,,
protein_coding,CYP11B1,8q24.3,"cytochrome P450, family 11, subfamily B, polypeptide 1",ENSG00000160882,,,
protein_coding,METTL9,16p12.2,methyltransferase like 9,ENSG00000197006,,,
protein_coding,DNAH11,7p15.3,"dynein, axonemal, heavy chain 11",ENSG00000105877,,,
miRNA,MIR6770-3,16p13.11,microRNA 6770-3,ENSG00000278265,,,
protein_coding,LMF2,22q13.33,lipase maturation factor 2,ENSG00000100258,,,
protein_coding,DOC2A,16p11.2,"double C2-like domains, alpha",ENSG00000149927,,,
protein_coding,EHF,11p13,ets homologous factor,ENSG00000135373,,,
protein_coding,SNX27,1q21.3,sorting nexin family member 27,ENSG00000143376,,,
processed_pseudogene,RBM8B,14q23.1,RNA binding motif protein 8B pseudogene,ENSG00000258427,,,
polymorphic_pseudogene,FCGR2C,1q23.3,"Fc fragment of IgG, low affinity IIc, receptor for (CD32) (gene/pseudogene)",ENSG00000244682,,,
protein_coding,SMU1,9p21.1,smu-1 suppressor of mec-8 and unc-52 homolog (C. elegans),ENSG00000122692,,,
protein_coding,LRRC41,1p34.1,leucine rich repeat containing 41,ENSG00000132128,,1p33,
lincRNA,LINC00052,15q25.3,long intergenic non-protein coding RNA 52,ENSG00000259527,,,
lincRNA,RP11-785H20.1,8q24.13,RP11-785H20.1,ENSG00000254018,,,
protein_coding,ELF5,11p13,E74-like factor 5 (ets domain transcription factor),ENSG00000135374,,,
protein_coding,RP11-26J3.4,8q21.13,RP11-26J3.4,ENSG00000276418,,,
protein_coding,ICOSLG,21p12,inducible T-cell co-stimulator ligand,ENSG00000277117,,,
protein_coding,PHOX2B,4p13,paired-like homeobox 2b,ENSG00000109132,true,,
transcribed_unprocessed_pseudogene,SVILP1,10p11.23,supervillin pseudogene 1,ENSG00000234814,,,
protein_coding,ESCO2,8p21.1,establishment of sister chromatid cohesion N-acetyltransferase 2,ENSG00000171320,,,
protein_coding,CCND2,12p13.32,cyclin D2,ENSG00000118971,true,,
protein_coding,UPB1,22q11.23,"ureidopropionase, beta",ENSG00000100024,,,
protein_coding,MPP3,17q21.31,"membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)",ENSG00000161647,,,
protein_coding,ARL8B,3p26.1,ADP-ribosylation factor-like 8B,ENSG00000134108,,,
protein_coding,MED20,6p21.1,mediator complex subunit 20,ENSG00000124641,,,
protein_coding,UGT2A1,4q13.3,"UDP glucuronosyltransferase 2 family, polypeptide A1, complex locus",ENSG00000173610,,,
protein_coding,ARHGAP26,5q31.3,Rho GTPase activating protein 26,ENSG00000145819,true,,
protein_coding,KCNA7,19q13.33,"potassium channel, voltage gated shaker related subfamily A, member 7",ENSG00000104848,,,
miRNA,MIR2682,,microRNA 2682,ENSG00000276280,,,
protein_coding,ACTN2,1q43,"actinin, alpha 2",ENSG00000077522,,,
lincRNA,LINC01356,1p13.2,long intergenic non-protein coding RNA 1356,ENSG00000215866,,,
protein_coding,C11orf91,11p13,chromosome 11 open reading frame 91,ENSG00000205177,,,
lincRNA,RP11-324D17.2,16q12.2,RP11-324D17.2,ENSG00000259759,,,
protein_coding,GBX1,7q36.1,gastrulation brain homeobox 1,ENSG00000164900,,,
miRNA,MIR4697,,microRNA 4697,ENSG00000264919,,,
protein_coding,AGO3,1p34.3,argonaute RISC catalytic component 3,ENSG00000126070,,,
protein_coding,KIF23,15q23,kinesin family member 23,ENSG00000137807,,,
protein_coding,KIAA1143,3p21.31,KIAA1143,ENSG00000163807,,,
protein_coding,TMEM14A,6p12.2,transmembrane protein 14A,ENSG00000096092,,,
protein_coding,B4GALNT2,17q21.32,"beta-1,4-N-acetyl-galactosaminyl transferase 2",ENSG00000167080,,,
protein_coding,CCDC175,14q23.1,coiled-coil domain containing 175,ENSG00000151838,,,
protein_coding,TPRX1,19q13.33,tetra-peptide repeat homeobox 1,ENSG00000178928,,,
protein_coding,ADAMTS1,21q21.3,"ADAM metallopeptidase with thrombospondin type 1 motif, 1",ENSG00000154734,,,
protein_coding,MRPS14,1q25.1,mitochondrial ribosomal protein S14,ENSG00000120333,,,
protein_coding,ENPP3,6q23.2,ectonucleotide pyrophosphatase/phosphodiesterase 3,ENSG00000154269,,,
protein_coding,AXDND1,1q25.2,axonemal dynein light chain domain containing 1,ENSG00000162779,,,
transcribed_unprocessed_pseudogene,SMG1P7,16q22.1,SMG1 pseudogene 7,ENSG00000261556,,,
protein_coding,OR11A1,6p22.1,"olfactory receptor, family 11, subfamily A, member 1",ENSG00000204694,,,
protein_coding,COLEC10,8q24.12,collectin sub-family member 10 (C-type lectin),ENSG00000184374,,,
protein_coding,NRBP1,2p23.3,nuclear receptor binding protein 1,ENSG00000115216,,,
protein_coding,PPP3R1,2p14,"protein phosphatase 3, regulatory subunit B, alpha",ENSG00000221823,,,
protein_coding,FSD1L,9q31.2,fibronectin type III and SPRY domain containing 1-like,ENSG00000106701,,,
protein_coding,ADGRA2,8p11.23,adhesion G protein-coupled receptor A2,ENSG00000020181,,,
protein_coding,MS4A3,11q12.1,"membrane-spanning 4-domains, subfamily A, member 3 (hematopoietic cell-specific)",ENSG00000149516,,,
protein_coding,ZNF512,2p23.3,zinc finger protein 512,ENSG00000243943,,,
protein_coding,CD93,20p11.21,CD93 molecule,ENSG00000125810,,,
protein_coding,MTRF1L,6q25.2,mitochondrial translational release factor 1-like,ENSG00000112031,,,
protein_coding,RP11-229P13.27,9q34.3,RP11-229P13.27,ENSG00000279073,,,
protein_coding,ADRA1D,20p13,adrenoceptor alpha 1D,ENSG00000171873,,,
protein_coding,RAMP2,17q21.2,receptor (G protein-coupled) activity modifying protein 2,ENSG00000131477,,,
protein_coding,HSFX2,Xq28,"heat shock transcription factor family, X linked 2",ENSG00000268738,,,
protein_coding,CLOCK,4q12,clock circadian regulator,ENSG00000134852,,,
protein_coding,HOXD3,2q31.1,homeobox D3,ENSG00000128652,,,
protein_coding,RBFOX2,22q12.3,"RNA binding protein, fox-1 homolog (C. elegans) 2",ENSG00000100320,,,
protein_coding,ZNF22,10q11.21,zinc finger protein 22,ENSG00000165512,,,
protein_coding,RPL27,17q21.31,ribosomal protein L27,ENSG00000131469,,,
protein_coding,LTB,6p21.33,"lymphotoxin beta (TNF superfamily, member 3)",ENSG00000227507,,,
protein_coding,CA4,17q23.1,carbonic anhydrase IV,ENSG00000167434,,,
protein_coding,PRR3,6p21.33,proline rich 3,ENSG00000204576,,,
protein_coding,IFNW1,9p21.3,"interferon, omega 1",ENSG00000177047,,,
protein_coding,IL32,16p13.3,interleukin 32,ENSG00000008517,,,
protein_coding,STRIP1,1p13.3,striatin interacting protein 1,ENSG00000143093,,,
protein_coding,RGAG1,Xq23,retrotransposon gag domain containing 1,ENSG00000243978,,,
protein_coding,RIC8A,11p15.5,RIC8 guanine nucleotide exchange factor A,ENSG00000177963,,,
protein_coding,SGCZ,8p22,"sarcoglycan, zeta",ENSG00000185053,,,
protein_coding,NUPL2,7p15.3,nucleoporin like 2,ENSG00000136243,,,
protein_coding,TXNDC9,2q11.2,thioredoxin domain containing 9,ENSG00000115514,,,
protein_coding,SYTL3,6q25.3,synaptotagmin-like 3,ENSG00000164674,,,
protein_coding,SUPT5H,19q13.2,suppressor of Ty 5 homolog (S. cerevisiae),ENSG00000196235,,,
unitary_pseudogene,OR9H1P,1q44,"olfactory receptor, family 9, subfamily H, member 1 pseudogene",ENSG00000228336,,,
protein_coding,TSR2,Xp11.22,"TSR2, 20S rRNA accumulation, homolog (S. cerevisiae)",ENSG00000158526,,,
protein_coding,AGPAT5,8p23.1,1-acylglycerol-3-phosphate O-acyltransferase 5,ENSG00000155189,,,
protein_coding,TAF12,1p35.3,"TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 20kDa",ENSG00000120656,,,
protein_coding,BCO2,11q23.1,beta-carotene oxygenase 2,ENSG00000197580,,,
protein_coding,FIS1,7q22.1,fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae),ENSG00000214253,,,
protein_coding,HMX2,10q26.13,H6 family homeobox 2,ENSG00000188816,,,
antisense,PAXIP1-AS2,7q36.2,PAXIP1 antisense RNA 2,ENSG00000214106,,,
protein_coding,ST6GALNAC2,17q25.1,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2",ENSG00000070731,,,
protein_coding,BCAS4,20q13.13,breast carcinoma amplified sequence 4,ENSG00000124243,,,
protein_coding,SNRPD3,22q11.23,small nuclear ribonucleoprotein D3 polypeptide 18kDa,ENSG00000100028,,,
protein_coding,OR8B2,11q24.2,"olfactory receptor, family 8, subfamily B, member 2",ENSG00000204293,,,
protein_coding,CFB,6p21.33,complement factor B,ENSG00000243649,,,
protein_coding,GSN,9q33.2,gelsolin,ENSG00000148180,,,
protein_coding,PRSS53,16p11.2,"protease, serine, 53",ENSG00000151006,,,
protein_coding,ZNRF4,19p13.3,zinc and ring finger 4,ENSG00000105428,,,
vaultRNA,VTRNA2-1,5q31.1,vault RNA 2-1,ENSG00000270123,,,
protein_coding,OR52B4,,"olfactory receptor, family 52, subfamily B, member 4 (gene/pseudogene)",ENSG00000280253,,,
protein_coding,CHEK2,22q12.1,checkpoint kinase 2,ENSG00000183765,true,,
protein_coding,ITIH4,3p21.1,"inter-alpha-trypsin inhibitor heavy chain family, member 4",ENSG00000055955,,,
protein_coding,AP4E1,15q21.2,"adaptor-related protein complex 4, epsilon 1 subunit",ENSG00000081014,,,
protein_coding,EIF2S1,14q23.3,"eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa",ENSG00000134001,,,
protein_coding,CHRND,2q37.1,"cholinergic receptor, nicotinic, delta (muscle)",ENSG00000135902,,,
protein_coding,CHST6,16q23.1,carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 6,ENSG00000183196,,,
protein_coding,IGSF21,1p36.13,"immunoglobin superfamily, member 21",ENSG00000117154,,,
protein_coding,C3,19p13.3,complement component 3,ENSG00000125730,,,
protein_coding,MAPRE1,20q11.21,"microtubule-associated protein, RP/EB family, member 1",ENSG00000101367,,,
protein_coding,POLR2A,17p13.1,"polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",ENSG00000181222,,,
protein_coding,EML2,19q13.32,echinoderm microtubule associated protein like 2,ENSG00000125746,,,
transcribed_unprocessed_pseudogene,NF1P2,15q11.2,neurofibromin 1 pseudogene 2,ENSG00000281347,,,
miRNA,MIR329-2,14q32.31,microRNA 329-2,ENSG00000207762,,,
unprocessed_pseudogene,HLA-K,6p22.1,"major histocompatibility complex, class I, K (pseudogene)",ENSG00000230795,,,
protein_coding,PPP1R14D,15q15.1,"protein phosphatase 1, regulatory (inhibitor) subunit 14D",ENSG00000166143,,,
processed_pseudogene,PYY3,Xp11.22,"peptide YY, 3 (pseudogene)",ENSG00000181977,,,
protein_coding,FYN,6q21,"FYN proto-oncogene, Src family tyrosine kinase",ENSG00000010810,,,
protein_coding,TIMM23B,10q11.23,translocase of inner mitochondrial membrane 23 homolog B (yeast),ENSG00000204152,,,
protein_coding,EID2B,19q13.2,EP300 interacting inhibitor of differentiation 2B,ENSG00000176401,,,
miRNA,MIR16-1,13q14.2,microRNA 16-1,ENSG00000208006,,,
processed_pseudogene,RPS26P54,18q21.32,ribosomal protein S26 pseudogene 54,ENSG00000224161,,,
protein_coding,PLET1,11q23.1,placenta expressed transcript 1,ENSG00000188771,,,
lincRNA,RP11-527L4.6,17q21.31,RP11-527L4.6,ENSG00000267420,,,
protein_coding,NPHS1,19q13.12,"nephrosis 1, congenital, Finnish type (nephrin)",ENSG00000161270,,,
protein_coding,CXCL3,4q13.3,chemokine (C-X-C motif) ligand 3,ENSG00000163734,,,
protein_coding,HEXA,15q23,hexosaminidase A (alpha polypeptide),ENSG00000213614,,,
protein_coding,LRFN1,19q13.2,leucine rich repeat and fibronectin type III domain containing 1,ENSG00000128011,,,
protein_coding,LCA5,6q14.1,Leber congenital amaurosis 5,ENSG00000135338,,,
protein_coding,COPS3,17p11.2,COP9 signalosome subunit 3,ENSG00000141030,,,
protein_coding,PCID2,13q34,PCI domain containing 2,ENSG00000126226,,,
protein_coding,C5orf58,5q35.1,chromosome 5 open reading frame 58,ENSG00000234511,,,
protein_coding,AC017028.10,2q37.3,AC017028.10,ENSG00000280260,,,
protein_coding,DNAJB14,4q23,"DnaJ (Hsp40) homolog, subfamily B, member 14",ENSG00000164031,,,
protein_coding,DUSP18,22q12.2,dual specificity phosphatase 18,ENSG00000167065,,,
protein_coding,FLNB,3p14.3,"filamin B, beta",ENSG00000136068,,,
transcribed_unprocessed_pseudogene,CELP,9q34.13,carboxyl ester lipase pseudogene,ENSG00000170827,,,
protein_coding,GTF3C6,6q21,"general transcription factor IIIC, polypeptide 6, alpha 35kDa",ENSG00000155115,,,
protein_coding,GGTLC2,22q11.22,gamma-glutamyltransferase light chain 2,ENSG00000100121,,,
protein_coding,GPR132,14q32.33,G protein-coupled receptor 132,ENSG00000183484,,,
protein_coding,SFI1,22q12.2,"Sfi1 homolog, spindle assembly associated (yeast)",ENSG00000198089,,,
TR_J_gene,TRAJ18,14q11.2,T cell receptor alpha joining 18,ENSG00000211871,,,
protein_coding,ITPKC,19q13.2,inositol-trisphosphate 3-kinase C,ENSG00000086544,,,
protein_coding,SGCD,5q33.2,"sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)",ENSG00000170624,,5q33.3,
protein_coding,MRGPRX2,11p15.1,"MAS-related GPR, member X2",ENSG00000183695,,,
protein_coding,RTN4,2p16.1,reticulon 4,ENSG00000115310,,,
protein_coding,ANKRD66,6p12.3,ankyrin repeat domain 66,ENSG00000230062,,,
protein_coding,ECH1,19q13.2,"enoyl CoA hydratase 1, peroxisomal",ENSG00000104823,,,
protein_coding,ASCC3,6q16.3,activating signal cointegrator 1 complex subunit 3,ENSG00000112249,,,
protein_coding,DUSP10,1q41,dual specificity phosphatase 10,ENSG00000143507,,,
lincRNA,RP11-50B3.2,11q24.2,RP11-50B3.2,ENSG00000254833,,,
lincRNA,AP003774.4,11q13.1,AP003774.4,ENSG00000181908,,,
protein_coding,HIST1H4B,6p22.2,"histone cluster 1, H4b",ENSG00000278705,,,
protein_coding,CEP112,17q24.1,centrosomal protein 112kDa,ENSG00000154240,,,
protein_coding,RGS18,1q31.2,regulator of G-protein signaling 18,ENSG00000150681,,,
protein_coding,ASPA,17p13.2,aspartoacylase,ENSG00000108381,,,
protein_coding,GOLGA6L9,15q25.2,golgin A6 family-like 9,ENSG00000197978,,,
protein_coding,PDCL3,2q11.2,phosducin-like 3,ENSG00000115539,,,
protein_coding,HLA-G,6p22.1,"major histocompatibility complex, class I, G",ENSG00000204632,,,
processed_transcript,C5orf64,5q12.1,chromosome 5 open reading frame 64,ENSG00000178722,,,
protein_coding,SLC22A23,6p25.2,"solute carrier family 22, member 23",ENSG00000137266,,,
lincRNA,LINC01478,18q12.3,long intergenic non-protein coding RNA 1478,ENSG00000267337,,,
protein_coding,STK32C,10q26.3,serine/threonine kinase 32C,ENSG00000165752,,,
protein_coding,SMG6,17p13.3,SMG6 nonsense mediated mRNA decay factor,ENSG00000070366,,,
protein_coding,ZAR1,4p11,zygote arrest 1,ENSG00000182223,,,
protein_coding,PPP2R5C,14q32.31,"protein phosphatase 2, regulatory subunit B', gamma",ENSG00000078304,,,
protein_coding,ARHGAP42,11q22.1,Rho GTPase activating protein 42,ENSG00000165895,,,
protein_coding,ATRX,Xq21.1,alpha thalassemia/mental retardation syndrome X-linked,ENSG00000085224,true,,
miRNA,Z97352.1,,Z97352.1,ENSG00000276301,,,
protein_coding,SPATA32,17q21.31,spermatogenesis associated 32,ENSG00000184361,,,
protein_coding,MPEG1,11q12.1,macrophage expressed 1,ENSG00000197629,,,
protein_coding,SORBS3,8p21.3,sorbin and SH3 domain containing 3,ENSG00000120896,,,
protein_coding,FKBP8,19p13.11,"FK506 binding protein 8, 38kDa",ENSG00000105701,,,
protein_coding,ZDHHC9,Xq26.1,"zinc finger, DHHC-type containing 9",ENSG00000188706,,,
protein_coding,LRRC48,17p11.2,leucine rich repeat containing 48,ENSG00000171962,,,
protein_coding,GSK3B,3q13.33,glycogen synthase kinase 3 beta,ENSG00000082701,,,
protein_coding,SRM,1p36.22,spermidine synthase,ENSG00000116649,,,
protein_coding,TOR1AIP2,1q25.2,torsin A interacting protein 2,ENSG00000169905,,,
protein_coding,CBR4,4q32.3,carbonyl reductase 4,ENSG00000145439,,,
unprocessed_pseudogene,DCLRE1CP1,10p13,DNA cross-link repair 1C pseudogene 1,ENSG00000237470,,,
protein_coding,FOPNL,16p13.11,FGFR1OP N-terminal like,ENSG00000133393,,,
protein_coding,AKR1B15,7q33,"aldo-keto reductase family 1, member B15",ENSG00000227471,,,
protein_coding,C5orf30,5q21.1,chromosome 5 open reading frame 30,ENSG00000181751,,,
processed_pseudogene,RP3-437C15.1,6p12.3,RP3-437C15.1,ENSG00000232702,,,
