name,cytoband,gene_id,symbol,biotype
integrator complex subunit 2,17q23.2,ENSG00000108506,INTS2,protein_coding
absent in melanoma 1,6q21,ENSG00000112297,AIM1,protein_coding
guanylate binding protein 5,1p22.2,ENSG00000154451,GBP5,protein_coding
"ring finger protein 34, E3 ubiquitin protein ligase",12q24.31,ENSG00000170633,RNF34,protein_coding
immunoglobulin kappa variable 2-26 (pseudogene),2p11.2,ENSG00000254098,IGKV2-26,IG_V_pseudogene
"ST6 beta-galactosamide alpha-2,6-sialyltranferase 1",3q27.3,ENSG00000073849,ST6GAL1,protein_coding
chromosome 10 open reading frame 10,10q11.21,ENSG00000165507,C10orf10,protein_coding
ovo-like zinc finger 2,20p11.23,ENSG00000125850,OVOL2,protein_coding
activating transcription factor 6 beta,6p21.33,ENSG00000213676,ATF6B,protein_coding
protocadherin 9,13q21.32,ENSG00000184226,PCDH9,protein_coding
"muskelin 1, intracellular mediator containing kelch motifs",7q32.3,ENSG00000128585,MKLN1,protein_coding
COBW domain containing 2,2q14.1,ENSG00000136682,CBWD2,protein_coding
long intergenic non-protein coding RNA 959,10q26.3,ENSG00000237489,LINC00959,lincRNA
"family with sequence similarity 47, member B",Xp21.1,ENSG00000189132,FAM47B,protein_coding
BTB (POZ) domain containing 11,12q23.3,ENSG00000151136,BTBD11,protein_coding
lactase,2q21.3,ENSG00000115850,LCT,protein_coding
"keratin 28, type I",17q21.2,ENSG00000173908,KRT28,protein_coding
"zinc finger, C3H1-type containing",12q21.1,ENSG00000133858,ZFC3H1,protein_coding
M-phase phosphoprotein 6,16q23.3,ENSG00000135698,MPHOSPH6,protein_coding
baculoviral IAP repeat containing 6,2p22.3,ENSG00000115760,BIRC6,protein_coding
"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4",12q24.31,ENSG00000176383,B3GNT4,protein_coding
microtubule-associated protein 1 light chain 3 beta,16q24.2,ENSG00000140941,MAP1LC3B,protein_coding
"glutamic-oxaloacetic transaminase 2, mitochondrial",16q21,ENSG00000125166,GOT2,protein_coding
"olfactory receptor, family 13, subfamily G, member 1",1q44,ENSG00000197437,OR13G1,protein_coding
adhesion G protein-coupled receptor G2,Xp22.13,ENSG00000173698,ADGRG2,protein_coding
EF-hand calcium binding domain 13,17q21.32,ENSG00000178852,EFCAB13,protein_coding
zinc finger and BTB domain containing 21,21q22.3,ENSG00000173276,ZBTB21,protein_coding
forkhead box D1,5q13.2,ENSG00000251493,FOXD1,protein_coding
Z83819.1,,ENSG00000275220,Z83819.1,miRNA
"Fanconi anemia, complementation group A",16q24.3,ENSG00000187741,FANCA,protein_coding
SLIT-ROBO Rho GTPase activating protein 1,12q14.2,ENSG00000196935,SRGAP1,protein_coding
"bromodomain adjacent to zinc finger domain, 2A",12q13.3,ENSG00000076108,BAZ2A,protein_coding
sorting nexin 4,3q21.2,ENSG00000114520,SNX4,protein_coding
"Pim-3 proto-oncogene, serine/threonine kinase",22q13.33,ENSG00000198355,PIM3,protein_coding
ectonucleoside triphosphate diphosphohydrolase 8,9q34.3,ENSG00000188833,ENTPD8,protein_coding
"olfactory receptor, family 5, subfamily F, member 1",11q12.1,ENSG00000149133,OR5F1,protein_coding
purine-rich element binding protein B,7p13,ENSG00000146676,PURB,protein_coding
olfactomedin-like 3,1p13.2,ENSG00000116774,OLFML3,protein_coding
acyl-CoA synthetase short-chain family member 1,20p11.21,ENSG00000154930,ACSS1,protein_coding
transmembrane protein 42,3p21.31,ENSG00000169964,TMEM42,protein_coding
structural maintenance of chromosomes 1B,22q13.31,ENSG00000077935,SMC1B,protein_coding
WD repeat domain 48,3p22.2,ENSG00000114742,WDR48,protein_coding
"olfactory receptor, family 7, subfamily D, member 4",19p13.2,ENSG00000174667,OR7D4,protein_coding
"phospholipase C, delta 4",2q35,ENSG00000115556,PLCD4,protein_coding
related RAS viral (r-ras) oncogene homolog 2,11p15.2,ENSG00000133818,RRAS2,protein_coding
"branched chain amino-acid transaminase 1, cytosolic",12p12.1,ENSG00000060982,BCAT1,protein_coding
G protein-coupled receptor 180,13q32.1,ENSG00000152749,GPR180,protein_coding
"guanine nucleotide binding protein (G protein), gamma 13",16p13.3,ENSG00000127588,GNG13,protein_coding
glutathione S-transferase theta 2 (gene/pseudogene),22q11.23,ENSG00000099984,GSTT2,polymorphic_pseudogene
KIAA1211,4q12,ENSG00000109265,KIAA1211,protein_coding
frizzled class receptor 7,2q33.1,ENSG00000155760,FZD7,protein_coding
"N-acetyltransferase 8 (GCN5-related, putative)",2p13.1,ENSG00000144035,NAT8,protein_coding
calcium/calmodulin-dependent protein kinase II alpha,5q32,ENSG00000070808,CAMK2A,protein_coding
proteasomal ATPase-associated factor 1,11q13.4,ENSG00000175575,PAAF1,protein_coding
alpha-2-HS-glycoprotein,3q27.3,ENSG00000145192,AHSG,protein_coding
calsyntenin 2,3q23,ENSG00000158258,CLSTN2,protein_coding
chromosome 1 open reading frame 43,1q21.3,ENSG00000143612,C1orf43,protein_coding
tudor and KH domain containing,1q21.3,ENSG00000182134,TDRKH,protein_coding
syntaxin 2,12q24.33,ENSG00000111450,STX2,protein_coding
Sjogren syndrome antigen B (autoantigen La),2q31.1,ENSG00000138385,SSB,protein_coding
transmembrane protein 194B,2q32.2,ENSG00000189362,TMEM194B,protein_coding
RAD9 homolog A (S. pombe),11q13.2,ENSG00000172613,RAD9A,protein_coding
CD300 molecule-like family member g,17q21.31,ENSG00000161649,CD300LG,protein_coding
phosphoprotein enriched in astrocytes 15,1q23.2,ENSG00000162734,PEA15,protein_coding
growth hormone receptor,5p13.1,ENSG00000112964,GHR,protein_coding
"histone cluster 2, H3c",1q21.2,ENSG00000203811,HIST2H3C,protein_coding
RP11-583F2.2,17q24.1,ENSG00000265912,RP11-583F2.2,lincRNA
ubiquitin specific peptidase 17-like family member 26,4p16.1,ENSG00000229579,USP17L26,protein_coding
carboxypeptidase A6,8q13.2,ENSG00000165078,CPA6,protein_coding
LanC lantibiotic synthetase component C-like 3 (bacterial),Xp21.1,ENSG00000147036,LANCL3,protein_coding
"casein kinase 2, alpha 3 polypeptide",11p15.4,ENSG00000254598,CSNK2A3,protein_coding
microRNA 376a-1,,ENSG00000277815,MIR376A1,miRNA
AL445183.1,1p32.3,ENSG00000279054,AL445183.1,protein_coding
"serine peptidase inhibitor, Kazal type 8 (putative)",3p21.31,ENSG00000229453,SPINK8,protein_coding
"proteasome (prosome, macropain) 26S subunit, ATPase, 3",11p11.2,ENSG00000165916,PSMC3,protein_coding
zinc finger protein 587,19q13.43,ENSG00000198466,ZNF587,protein_coding
AC011718.2,22q11.21,ENSG00000274044,AC011718.2,lincRNA
actin-like 7B,9q31.3,ENSG00000148156,ACTL7B,protein_coding
chromosome 8 open reading frame 88,8q21.3,ENSG00000253250,C8orf88,protein_coding
"lymphocyte antigen 6 complex, locus G6E (pseudogene)",6p21.33,ENSG00000255552,LY6G6E,protein_coding
trafficking protein particle complex 2-like,16q24.3,ENSG00000167515,TRAPPC2L,protein_coding
high mobility group nucleosomal binding domain 2,1p36.11,ENSG00000198830,HMGN2,protein_coding
galectin-related inter-fiber protein,7p22.3,ENSG00000275572,GRIFIN,protein_coding
"pleckstrin homology domain containing, family G (with RhoGef domain) member 3",14q23.3,ENSG00000126822,PLEKHG3,protein_coding
cyclin D3,6p21.1,ENSG00000112576,CCND3,protein_coding
GRB2-associated binding protein 2,11q14.1,ENSG00000033327,GAB2,protein_coding
keratinocyte differentiation-associated protein,19q13.12,ENSG00000188508,KRTDAP,protein_coding
"family with sequence similarity 134, member A",2q35,ENSG00000144567,FAM134A,protein_coding
presenilin 1,14q24.2,ENSG00000080815,PSEN1,protein_coding
testis expressed 33,22q12.3,ENSG00000185264,TEX33,protein_coding
kelch-like family member 31,6p12.1,ENSG00000124743,KLHL31,protein_coding
"BPI fold containing family A, member 2",20q11.21,ENSG00000131050,BPIFA2,protein_coding
D-aspartate oxidase,6q21,ENSG00000203797,DDO,protein_coding
"FSHD region gene 2 family, member C",3p12.3,ENSG00000172969,FRG2C,protein_coding
transmembrane protein 45A,3q12.2,ENSG00000181458,TMEM45A,protein_coding
zinc finger protein 587B,19q13.43,ENSG00000269343,ZNF587B,protein_coding
carbonic anhydrase VI,1p36.23,ENSG00000131686,CA6,protein_coding
cysteine and glycine-rich protein 3 (cardiac LIM protein),11p15.1,ENSG00000129170,CSRP3,protein_coding
synaptojanin 2,6q25.3,ENSG00000078269,SYNJ2,protein_coding
activator of basal transcription 1,6p22.2,ENSG00000146109,ABT1,protein_coding
maestro heat-like repeat family member 1,8q24.3,ENSG00000179832,MROH1,protein_coding
marginal zone B and B1 cell-specific protein,5q31.2,ENSG00000170476,MZB1,protein_coding
PITH (C-terminal proteasome-interacting domain of thioredoxin-like) domain containing 1,1p36.11,ENSG00000057757,PITHD1,protein_coding
dynactin 4 (p62),5q33.1,ENSG00000132912,DCTN4,protein_coding
squalene epoxidase,8q24.13,ENSG00000104549,SQLE,protein_coding
"isocitrate dehydrogenase 2 (NADP+), mitochondrial",15q26.1,ENSG00000182054,IDH2,protein_coding
neutral cholesterol ester hydrolase 1,3q26.31,ENSG00000144959,NCEH1,protein_coding
AC068533.7,7q11.21,ENSG00000249319,AC068533.7,protein_coding
aquarius intron-binding spliceosomal factor,15q14,ENSG00000021776,AQR,protein_coding
WD repeat domain 20,14q32.31,ENSG00000140153,WDR20,protein_coding
"ATP-binding cassette, sub-family A (ABC1), member 17, pseudogene",16p13.3,ENSG00000238098,ABCA17P,unitary_pseudogene
Kruppel-like factor 4 (gut),9q31.2,ENSG00000136826,KLF4,protein_coding
SH3 domain binding glutamate-rich protein like 3,1p36.11,ENSG00000142669,SH3BGRL3,protein_coding
serine dehydratase,12q24.13,ENSG00000135094,SDS,protein_coding
"diacylglycerol kinase, iota",7q33,ENSG00000157680,DGKI,protein_coding
DPY19L2 pseudogene 1,7p14.2,ENSG00000189212,DPY19L2P1,transcribed_unprocessed_pseudogene
CXXC finger protein 5,5q31.2,ENSG00000171604,CXXC5,protein_coding
"guanine nucleotide binding protein (G protein), alpha 11 (Gq class)",19p13.3,ENSG00000088256,GNA11,protein_coding
FCH and double SH3 domains 1,5q31.3,ENSG00000197948,FCHSD1,protein_coding
"small nucleolar RNA, C/D box 107",15q11.2,ENSG00000276314,SNORD107,snoRNA
alkaline ceramidase 3,11q13.5,ENSG00000078124,ACER3,protein_coding
unc-13 homolog D (C. elegans),17q25.1,ENSG00000092929,UNC13D,protein_coding
hyperpolarization activated cyclic nucleotide gated potassium channel 3,1q22,ENSG00000143630,HCN3,protein_coding
"family with sequence similarity 175, member A",4q21.23,ENSG00000163322,FAM175A,protein_coding
chromosome 10 open reading frame 113,10p12.31,ENSG00000204683,C10orf113,protein_coding
PDZK1 interacting protein 1,1p33,ENSG00000162366,PDZK1IP1,protein_coding
F-box protein 36,2q36.3,ENSG00000153832,FBXO36,protein_coding
F-box and WD repeat domain containing 2,9q33.2,ENSG00000119402,FBXW2,protein_coding
BCL2-like 15,1p13.2,ENSG00000188761,BCL2L15,protein_coding
zinc finger protein 20,19p13.2,ENSG00000132010,ZNF20,protein_coding
cadherin-related 23,10q22.1,ENSG00000107736,CDH23,protein_coding
desmoglein 2,18q12.1,ENSG00000046604,DSG2,protein_coding
Rho GTPase activating protein 27,17q21.31,ENSG00000159314,ARHGAP27,protein_coding
zinc finger protein 443,19p13.2,ENSG00000180855,ZNF443,protein_coding
myostatin,2q32.2,ENSG00000138379,MSTN,protein_coding
"DnaJ (Hsp40) homolog, subfamily C, member 19",3q26.33,ENSG00000205981,DNAJC19,protein_coding
coiled-coil domain containing 102B,18q22.1,ENSG00000150636,CCDC102B,protein_coding
coiled-coil domain containing 159,19p13.2,ENSG00000183401,CCDC159,protein_coding
DDB1 and CUL4 associated factor 11,14q12,ENSG00000100897,DCAF11,protein_coding
"propionyl CoA carboxylase, beta polypeptide",3q22.3,ENSG00000114054,PCCB,protein_coding
tripartite motif containing 3,11p15.4,ENSG00000110171,TRIM3,protein_coding
chromosome 17 open reading frame 96,17q12,ENSG00000273604,C17orf96,protein_coding
"TBC1 domain family, member 9 (with GRAM domain)",4q31.21,ENSG00000109436,TBC1D9,protein_coding
unc-93 homolog B1 (C. elegans),11q13.2,ENSG00000110057,UNC93B1,protein_coding
SEC22 vesicle trafficking protein homolog A (S. cerevisiae),3q21.1,ENSG00000121542,SEC22A,protein_coding
1-acylglycerol-3-phosphate O-acyltransferase 4,6q26,ENSG00000026652,AGPAT4,protein_coding
midline 1,Xp22.2,ENSG00000101871,MID1,protein_coding
mab-21-like 1 (C. elegans),13q13.3,ENSG00000180660,MAB21L1,protein_coding
insulin-like growth factor 2 receptor,6q25.3,ENSG00000197081,IGF2R,protein_coding
ral guanine nucleotide dissociation stimulator,9q34.13,ENSG00000160271,RALGDS,protein_coding
Mab-21 domain containing 1,6q13,ENSG00000164430,MB21D1,protein_coding
RAB GTPase activating protein 1-like,1q25.1,ENSG00000152061,RABGAP1L,protein_coding
"solute carrier family 44, member 5",1p31.1,ENSG00000137968,SLC44A5,protein_coding
"G protein-coupled receptor, class C, group 5, member A",12p13.1,ENSG00000013588,GPRC5A,protein_coding
growth factor receptor-bound protein 14,2q24.3,ENSG00000115290,GRB14,protein_coding
zinc finger protein 19,16q22.2,ENSG00000157429,ZNF19,protein_coding
myeloid-derived growth factor,19p13.3,ENSG00000074842,MYDGF,protein_coding
"glycerol-3-phosphate acyltransferase, mitochondrial",10q25.2,ENSG00000119927,GPAM,protein_coding
cellular repressor of E1A-stimulated genes 1,1q24.2,ENSG00000143162,CREG1,protein_coding
acyl-CoA thioesterase 2,14q24.3,ENSG00000119673,ACOT2,protein_coding
stabilin 2,12q23.3,ENSG00000136011,STAB2,protein_coding
RAR-related orphan receptor C,1q21.3,ENSG00000143365,RORC,protein_coding
proline-rich transmembrane protein 2,16p11.2,ENSG00000167371,PRRT2,protein_coding
long intergenic non-protein coding RNA 202-2,10p12.1,ENSG00000231976,LINC00202-2,lincRNA
"olfactory receptor, family 52, subfamily K, member 2",11p15.4,ENSG00000181963,OR52K2,protein_coding
Sp6 transcription factor,17q21.32,ENSG00000189120,SP6,protein_coding
profilin 2,3q25.1,ENSG00000070087,PFN2,protein_coding
"ribosomal protein S6 kinase, 90kDa, polypeptide 4",11q13.1,ENSG00000162302,RPS6KA4,protein_coding
G protein-coupled receptor 75,2p16.2,ENSG00000119737,GPR75,protein_coding
testis and ovary specific PAZ domain containing 1,3p21.31,ENSG00000173769,TOPAZ1,protein_coding
zinc finger protein 41,Xp11.3,ENSG00000147124,ZNF41,protein_coding
ADP-ribosyltransferase 1,11p15.4,ENSG00000129744,ART1,protein_coding
chromosome 11 open reading frame 44,11q24.3,ENSG00000175728,C11orf44,protein_coding
exonuclease 3'-5' domain containing 2,14q24.1,ENSG00000081177,EXD2,protein_coding
chromosome 14 open reading frame 178,14q24.3,ENSG00000197734,C14orf178,protein_coding
glycerophosphodiester phosphodiesterase 1,16p12.3,ENSG00000006007,GDE1,protein_coding
24-dehydrocholesterol reductase,1p32.3,ENSG00000116133,DHCR24,protein_coding
"H2A histone family, member Z",4q23,ENSG00000164032,H2AFZ,protein_coding
chromosome 9 open reading frame 50,9q34.11,ENSG00000179058,C9orf50,protein_coding
annexin A8,10q11.22,ENSG00000265190,ANXA8,protein_coding
teneurin transmembrane protein 4,11q14.1,ENSG00000149256,TENM4,protein_coding
"asparaginyl-tRNA synthetase 2, mitochondrial (putative)",11q14.1,ENSG00000137513,NARS2,protein_coding
glutathione peroxidase 2,14q23.3,ENSG00000176153,GPX2,protein_coding
transmembrane protein 101,17q21.31,ENSG00000091947,TMEM101,protein_coding
"proteasome (prosome, macropain) 26S subunit, non-ATPase, 8",19q13.2,ENSG00000099341,PSMD8,protein_coding
RP11-875O11.2,8p21.3,ENSG00000246130,RP11-875O11.2,antisense
RP11-707O23.5,17q21.31,ENSG00000263503,RP11-707O23.5,processed_pseudogene
"glutamate decarboxylase 1 (brain, 67kDa)",2q31.1,ENSG00000128683,GAD1,protein_coding
Wolfram syndrome 1 (wolframin),4p16.1,ENSG00000109501,WFS1,protein_coding
calmodulin-lysine N-methyltransferase,2p21,ENSG00000143919,CAMKMT,protein_coding
zinc finger protein 649,19q13.41,ENSG00000198093,ZNF649,protein_coding
"small nucleolar RNA, C/D box 116-9",15q11.2,ENSG00000206727,SNORD116-9,snoRNA
cubilin (intrinsic factor-cobalamin receptor),10p13,ENSG00000107611,CUBN,protein_coding
neurofibromin 1,17q11.2,ENSG00000196712,NF1,protein_coding
"integrin, alpha 10",1q21.1,ENSG00000143127,ITGA10,protein_coding
Leber congenital amaurosis 5-like,21q22.2,ENSG00000157578,LCA5L,protein_coding
"solute carrier family 5 (sodium/inositol cotransporter), member 11",16p12.1,ENSG00000158865,SLC5A11,protein_coding
RWD domain containing 2A,6q14.1,ENSG00000013392,RWDD2A,protein_coding
CD53 molecule,1p13.3,ENSG00000143119,CD53,protein_coding
"olfactory receptor, family 10, subfamily A, member 3",11p15.4,ENSG00000170683,OR10A3,protein_coding
ADP-ribosylation factor-like 4C,2q37.1,ENSG00000188042,ARL4C,protein_coding
"serpin peptidase inhibitor, clade B (ovalbumin), member 9",6p25.2,ENSG00000170542,SERPINB9,protein_coding
FCF1 rRNA-processing protein,14q24.3,ENSG00000119616,FCF1,protein_coding
spindle and centriole associated protein 1,3q13.2,ENSG00000163611,SPICE1,protein_coding
recombination activating gene 1,11p12,ENSG00000166349,RAG1,protein_coding
"scavenger receptor class F, member 1",17p13.3,ENSG00000074660,SCARF1,protein_coding
RP11-318A15.7,17q25.1,ENSG00000267168,RP11-318A15.7,protein_coding
"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5B",3q21.1,ENSG00000082684,SEMA5B,protein_coding
zinc finger protein 439,19p13.2,ENSG00000171291,ZNF439,protein_coding
RP1-309K20.6,20q11.22,ENSG00000272897,RP1-309K20.6,protein_coding
potassium channel tetramerization domain containing 21,11q14.1,ENSG00000188997,KCTD21,protein_coding
zinc finger protein 668,16p11.2,ENSG00000167394,ZNF668,protein_coding
"TATA box binding protein (TBP)-associated factor, RNA polymerase I, D, 41kDa",11q21,ENSG00000166012,TAF1D,protein_coding
"olfactory receptor, family 2, subfamily W, member 3",1q44,ENSG00000238243,OR2W3,protein_coding
"solute carrier family 22, member 18",11p15.4,ENSG00000110628,SLC22A18,protein_coding
chromosome 1 open reading frame 194,1p13.3,ENSG00000179902,C1orf194,protein_coding
nuclear factor I/A,1p31.3,ENSG00000162599,NFIA,protein_coding
pseudouridylate synthase 7 (putative),7q22.3,ENSG00000091127,PUS7,protein_coding
dimethylglycine dehydrogenase,5q14.1,ENSG00000132837,DMGDH,protein_coding
Y_RNA,1p35.2,ENSG00000265961,Y_RNA,misc_RNA
paraspeckle component 1,13q12.11,ENSG00000121390,PSPC1,protein_coding
"angiotensin II receptor, type 2",Xq23,ENSG00000180772,AGTR2,protein_coding
"t-complex 11, testis-specific-like 2",12q23.3,ENSG00000166046,TCP11L2,protein_coding
RP11-1012A1.4,14q24.1,ENSG00000258466,RP11-1012A1.4,protein_coding
zinc finger protein 658,9q21.11,ENSG00000274349,ZNF658,protein_coding
CWC25 spliceosome-associated protein homolog (S. cerevisiae),17q12,ENSG00000273559,CWC25,protein_coding
heparan sulfate 6-O-sulfotransferase 2,Xq26.2,ENSG00000171004,HS6ST2,protein_coding
aspartate beta-hydroxylase domain containing 2,22q12.1,ENSG00000128203,ASPHD2,protein_coding
DEAH (Asp-Glu-Ala-His) box helicase 9,1q25.3,ENSG00000135829,DHX9,protein_coding
ubiquitination factor E4A,11q23.3,ENSG00000110344,UBE4A,protein_coding
"Fc fragment of IgA, receptor for",19q13.42,ENSG00000186431,FCAR,protein_coding
junctophilin 2,20q13.12,ENSG00000149596,JPH2,protein_coding
"C-type lectin domain family 4, member F",2p13.3,ENSG00000152672,CLEC4F,protein_coding
serine/arginine repetitive matrix 4,12q24.23,ENSG00000139767,SRRM4,protein_coding
AC011366.3,5q21.3,ENSG00000254106,AC011366.3,lincRNA
"N-ethylmaleimide-sensitive factor attachment protein, beta",20p11.21,ENSG00000125814,NAPB,protein_coding
kelch-like family member 35,11q13.4,ENSG00000149243,KLHL35,protein_coding
"solute carrier family 40 (iron-regulated transporter), member 1",2q32.2,ENSG00000138449,SLC40A1,protein_coding
HNRNPUL2-BSCL2 readthrough (NMD candidate),11q12.3,ENSG00000234857,HNRNPUL2-BSCL2,protein_coding
ELOVL fatty acid elongase 6,4q25,ENSG00000170522,ELOVL6,protein_coding
ANKHD1-EIF4EBP3 readthrough,5q31.3,ENSG00000254996,ANKHD1-EIF4EBP3,protein_coding
SMAD specific E3 ubiquitin protein ligase 2,17q23.3,ENSG00000108854,SMURF2,protein_coding
zinc finger and BTB domain containing 7B,1q21.3,ENSG00000160685,ZBTB7B,protein_coding
fibronectin type III domain containing 8,17q12,ENSG00000073598,FNDC8,protein_coding
C2 calcium-dependent domain containing 4A,15q22.2,ENSG00000198535,C2CD4A,protein_coding
Rho guanine nucleotide exchange factor (GEF) 35,7q35,ENSG00000213214,ARHGEF35,protein_coding
dual specificity phosphatase 16,12p13.2,ENSG00000111266,DUSP16,protein_coding
syntaxin binding protein 2,19p13.2,ENSG00000076944,STXBP2,protein_coding
dendrin,12q13.12,ENSG00000181418,DDN,protein_coding
lysophosphatidic acid receptor 3,1p22.3,ENSG00000171517,LPAR3,protein_coding
"taste receptor, type 2, member 16",7q31.32,ENSG00000128519,TAS2R16,protein_coding
"adaptor-related protein complex 3, delta 1 subunit",19p13.3,ENSG00000065000,AP3D1,protein_coding
coiled-coil domain containing 84,11q23.3,ENSG00000186166,CCDC84,protein_coding
RP11-85G18.6,10p12.1,ENSG00000262412,RP11-85G18.6,lincRNA
"potassium channel, calcium activated large conductance subfamily M alpha, member 1",10q22.3,ENSG00000156113,KCNMA1,protein_coding
dermcidin,12q13.2,ENSG00000161634,DCD,protein_coding
mediator complex subunit 24,17q21.1,ENSG00000008838,MED24,protein_coding
"family with sequence similarity 217, member B",20q13.33,ENSG00000196227,FAM217B,protein_coding
CEP295 N-terminal like,17q25.3,ENSG00000178404,CEP295NL,protein_coding
pre-B-cell leukemia homeobox 2,6p21.32,ENSG00000204304,PBX2,protein_coding
"TGFB-induced factor homeobox 2-like, X-linked",Xq21.31,ENSG00000153779,TGIF2LX,protein_coding
"major histocompatibility complex, class II, DP beta 1",6p21.32,ENSG00000223865,HLA-DPB1,protein_coding
"solute carrier family 7 (amino acid transporter light chain, L system), member 8",14q11.2,ENSG00000092068,SLC7A8,protein_coding
"mucin 1, cell surface associated",1q22,ENSG00000185499,MUC1,protein_coding
SCY1-like 1 (S. cerevisiae),11q13.1,ENSG00000142186,SCYL1,protein_coding
spinster homolog 3 (Drosophila),17p13.2,ENSG00000182557,SPNS3,protein_coding
"keratin 79, type II",12q13.13,ENSG00000185640,KRT79,protein_coding
chemokine (C-C motif) ligand 27,9p13.3,ENSG00000213927,CCL27,protein_coding
"laminin, gamma 1 (formerly LAMB2)",1q25.3,ENSG00000135862,LAMC1,protein_coding
interferon regulatory factor 4,6p25.3,ENSG00000137265,IRF4,protein_coding
cell division cycle 20B,5q11.2,ENSG00000164287,CDC20B,protein_coding
leucine zipper protein 6,7q33,ENSG00000267697,LUZP6,protein_coding
"glutathione S-transferase, C-terminal domain containing",4q24,ENSG00000138780,GSTCD,protein_coding
"cholinergic receptor, nicotinic, beta 1 (muscle)",17p13.1,ENSG00000170175,CHRNB1,protein_coding
RNA binding protein with multiple splicing,8p12,ENSG00000157110,RBPMS,protein_coding
glutamic pyruvate transaminase (alanine aminotransferase) 2,16q11.2,ENSG00000166123,GPT2,protein_coding
RP5-966M1.6,3p21.1,ENSG00000243696,RP5-966M1.6,protein_coding
grainyhead-like 2 (Drosophila),8q22.3,ENSG00000083307,GRHL2,protein_coding
"alkaline phosphatase, placental-like 2",2q37.1,ENSG00000163286,ALPPL2,protein_coding
chromosome 14 open reading frame 183,,ENSG00000168260,C14orf183,protein_coding
T cell receptor alpha variable 7,14q11.2,ENSG00000211781,TRAV7,TR_V_gene
immunoglobulin kappa variable 1-39 (gene/pseudogene),2p11.2,ENSG00000242371,IGKV1-39,IG_V_gene
"inhibitor of CDK, cyclin A1 interacting protein 1",17p13.2,ENSG00000196388,INCA1,protein_coding
synaptophysin-like 2,1p13.3,ENSG00000143028,SYPL2,protein_coding
MEF2 activating motif and SAP domain containing transcriptional regulator,19q13.33,ENSG00000176909,MAMSTR,protein_coding
interleukin 26,12q15,ENSG00000111536,IL26,protein_coding
kelch-like family member 2,4q32.3,ENSG00000109466,KLHL2,protein_coding
chromosome 15 open reading frame 43,15q21.1,ENSG00000167014,C15orf43,protein_coding
"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A",7q21.11,ENSG00000075213,SEMA3A,protein_coding
desmoglein 1,18q12.1,ENSG00000134760,DSG1,protein_coding
fms-related tyrosine kinase 3 ligand,19q13.33,ENSG00000090554,FLT3LG,protein_coding
G patch domain containing 4,1q22,ENSG00000160818,GPATCH4,protein_coding
"adaptor-related protein complex 2, beta 1 subunit",17q12,ENSG00000006125,AP2B1,protein_coding
interleukin 12B,5q33.3,ENSG00000113302,IL12B,protein_coding
"olfactory receptor, family 9, subfamily I, member 1",11q12.1,ENSG00000172377,OR9I1,protein_coding
"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1",18q23,ENSG00000060069,CTDP1,protein_coding
"proteasome (prosome, macropain) inhibitor subunit 1 (PI31)",20p13,ENSG00000125818,PSMF1,protein_coding
"adaptor-related protein complex 5, mu 1 subunit",14q22.3,ENSG00000053770,AP5M1,protein_coding
SAM pointed domain containing ETS transcription factor,6p21.31,ENSG00000124664,SPDEF,protein_coding
"guanine nucleotide binding protein (G protein), beta polypeptide 4",3q26.33,ENSG00000114450,GNB4,protein_coding
dachsous cadherin-related 2,4q31.3,ENSG00000197410,DCHS2,protein_coding
cornichon family AMPA receptor auxiliary protein 2,11q13.2,ENSG00000174871,CNIH2,protein_coding
v-ets avian erythroblastosis virus E26 oncogene homolog 1,11q24.3,ENSG00000134954,ETS1,protein_coding
leucine rich repeat containing 10B,11q12.2,ENSG00000204950,LRRC10B,protein_coding
chromosome 11 open reading frame 42,11p15.4,ENSG00000180878,C11orf42,protein_coding
signal recognition particle 54kDa,14q13.2,ENSG00000100883,SRP54,protein_coding
KIAA1456,8p22,ENSG00000250305,KIAA1456,protein_coding
CD70 molecule,19p13.3,ENSG00000125726,CD70,protein_coding
E2F transcription factor 7,12q21.2,ENSG00000165891,E2F7,protein_coding
endonuclease domain containing 1,11q21,ENSG00000149218,ENDOD1,protein_coding
"NAD(P)H dehydrogenase, quinone 2",6p25.2,ENSG00000124588,NQO2,protein_coding
leucine rich repeat and Ig domain containing 4,1q21.3,ENSG00000213171,LINGO4,protein_coding
"potassium channel, voltage gated eag related subfamily H, member 7",2q24.2,ENSG00000184611,KCNH7,protein_coding
keratin associated protein 5-7,11q13.4,ENSG00000244411,KRTAP5-7,protein_coding
protein arginine methyltransferase 2,21q22.3,ENSG00000160310,PRMT2,protein_coding
mitochondrial ribosomal protein L27,17q21.33,ENSG00000108826,MRPL27,protein_coding
"solute carrier family 45, member 3",1q32.1,ENSG00000158715,SLC45A3,protein_coding
centrosomal protein 41kDa,7q32.2,ENSG00000106477,CEP41,protein_coding
growth hormone 1,17q23.3,ENSG00000259384,GH1,protein_coding
chondrosarcoma associated gene 1,Xq28,ENSG00000198930,CSAG1,protein_coding
