name,cytoband,symbol,gene_id,biotype
glycerophosphodiester phosphodiesterase domain containing 5,11q13.4,GDPD5,ENSG00000158555,protein_coding
keratin associated protein 24-1,21q22.11,KRTAP24-1,ENSG00000188694,protein_coding
SET domain containing (lysine methyltransferase) 7,4q31.1,SETD7,ENSG00000145391,protein_coding
coiled-coil domain containing 134,22q13.2,CCDC134,ENSG00000100147,protein_coding
cell growth regulator with ring finger domain 1,14q22.2,CGRRF1,ENSG00000100532,protein_coding
tubulin tyrosine ligase-like family member 9,20q11.21,TTLL9,ENSG00000131044,protein_coding
"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4",6p21.32,B3GALT4,ENSG00000235863,protein_coding
LY6/PLAUR domain containing 6,2q23.2,LYPD6,ENSG00000187123,protein_coding
slit homolog 3 (Drosophila),5q34,SLIT3,ENSG00000184347,protein_coding
ubiquitin protein ligase E3 component n-recognin 3 (putative),2q31.1,UBR3,ENSG00000144357,protein_coding
zinc finger protein 746,7q36.1,ZNF746,ENSG00000181220,protein_coding
kelch-like family member 36,16q24.1,KLHL36,ENSG00000135686,protein_coding
"family with sequence similarity 231, member D",1q21.2,FAM231D,ENSG00000272058,protein_coding
endothelin receptor type B,13q22.3,EDNRB,ENSG00000136160,protein_coding
"armadillo repeat containing, X-linked 4",Xq22.1,ARMCX4,ENSG00000196440,protein_coding
ELOVL fatty acid elongase 7,5q12.1,ELOVL7,ENSG00000164181,protein_coding
glutathione S-transferase mu 3 (brain),1p13.3,GSTM3,ENSG00000134202,protein_coding
baculoviral IAP repeat containing 7,20q13.33,BIRC7,ENSG00000101197,protein_coding
"MAS-related GPR, member D",11q13.3,MRGPRD,ENSG00000172938,protein_coding
small ubiquitin-like modifier 2,17q25.1,SUMO2,ENSG00000188612,protein_coding
t-complex-associated-testis-expressed 3,6q27,TCTE3,ENSG00000184786,protein_coding
APOBEC1 complementation factor,10q11.23,A1CF,ENSG00000148584,protein_coding
"protein phosphatase 2, regulatory subunit B', beta",11q13.1,PPP2R5B,ENSG00000068971,protein_coding
PARK2 co-regulated,6q26,PACRG,ENSG00000112530,protein_coding
"cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene",6p22.3,CMAHP,ENSG00000168405,unitary_pseudogene
polyhomeotic homolog 3 (Drosophila),3q26.2,PHC3,ENSG00000173889,protein_coding
"HAUS augmin-like complex, subunit 1",18q21.1,HAUS1,ENSG00000152240,protein_coding
Kruppel-like factor 8,Xp11.21,KLF8,ENSG00000102349,protein_coding
tetraspanin 6,Xq22.1,TSPAN6,ENSG00000000003,protein_coding
"torsin family 3, member A",1q25.2,TOR3A,ENSG00000186283,protein_coding
GTP cyclohydrolase I feedback regulator,15q15.1,GCHFR,ENSG00000137880,protein_coding
single-strand-selective monofunctional uracil-DNA glycosylase 1,12q13.13,SMUG1,ENSG00000123415,protein_coding
cell division cycle associated 8,1p34.3,CDCA8,ENSG00000134690,protein_coding
speedy/RINGO cell cycle regulator family member E5,7q11.23,SPDYE5,ENSG00000170092,protein_coding
major facilitator superfamily domain containing 1,3q25.32,MFSD1,ENSG00000118855,protein_coding
iodotyrosine deiodinase,6q25.1,IYD,ENSG00000009765,protein_coding
muscle RAS oncogene homolog,3q22.3,MRAS,ENSG00000158186,protein_coding
FERM domain containing 3,9q21.32,FRMD3,ENSG00000172159,protein_coding
RP11-598P20.5,8p11.21,RP11-598P20.5,ENSG00000254673,protein_coding
ubiquitin A-52 residue ribosomal protein fusion product 1,19p13.11,UBA52,ENSG00000221983,protein_coding
RNA binding motif protein 46,4q32.1,RBM46,ENSG00000151962,protein_coding
osteoclast stimulatory transmembrane protein,20q13.12,OCSTAMP,ENSG00000149635,protein_coding
TGFB-induced factor homeobox 2,20q11.23,TGIF2,ENSG00000118707,protein_coding
"FK506 binding protein 11, 19 kDa",12q13.12,FKBP11,ENSG00000134285,protein_coding
WW and C2 domain containing 1,5q34,WWC1,ENSG00000113645,protein_coding
pre-mRNA processing factor 8,17p13.3,PRPF8,ENSG00000174231,protein_coding
metallophosphoesterase domain containing 2,11p14.1,MPPED2,ENSG00000066382,protein_coding
ring finger protein 17,13q12.12,RNF17,ENSG00000132972,protein_coding
protocadherin beta 14,5q31.3,PCDHB14,ENSG00000120327,protein_coding
KIAA1024-like,5q23.3,KIAA1024L,ENSG00000186367,protein_coding
small nuclear ribonucleoprotein 25kDa (U11/U12),16p13.3,SNRNP25,ENSG00000161981,protein_coding
lysine (K)-specific methyltransferase 2D,12q13.12,KMT2D,ENSG00000167548,protein_coding
"TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa",Xq13.1,TAF1,ENSG00000147133,protein_coding
"potassium channel, voltage gated shaker related subfamily A, member 10",1p13.3,KCNA10,ENSG00000143105,protein_coding
agrin,1p36.33,AGRN,ENSG00000188157,protein_coding
"cancer/testis antigen family 47, member A12",Xq24,CT47A12,ENSG00000226685,protein_coding
neural retina leucine zipper,14q11.2,NRL,ENSG00000129535,protein_coding
zinc finger protein 528,19q13.41,ZNF528,ENSG00000167555,protein_coding
collapsin response mediator protein 1,4p16.2,CRMP1,ENSG00000072832,protein_coding
"Fc fragment of IgG, low affinity IIb, receptor (CD32)",1q23.3,FCGR2B,ENSG00000072694,protein_coding
"membrane-spanning 4-domains, subfamily A, member 13",11q12.2,MS4A13,ENSG00000204979,protein_coding
6-phosphogluconolactonase,19p13.11,PGLS,ENSG00000130313,protein_coding
"zinc finger, MYM-type 2",13q12.11,ZMYM2,ENSG00000121741,protein_coding
adenylate kinase 3,9p24.1,AK3,ENSG00000147853,protein_coding
"SID1 transmembrane family, member 1",3q13.2,SIDT1,ENSG00000072858,protein_coding
dehydrogenase E1 and transketolase domain containing 1,10p14,DHTKD1,ENSG00000181192,protein_coding
tripartite motif containing 7,5q35.3,TRIM7,ENSG00000146054,protein_coding
"GrpE-like 1, mitochondrial (E. coli)",4p16.1,GRPEL1,ENSG00000109519,protein_coding
chromosome 1 open reading frame 52,1p22.3,C1orf52,ENSG00000162642,protein_coding
heparan sulfate 6-O-sulfotransferase 1,2q14.3,HS6ST1,ENSG00000136720,protein_coding
zinc finger protein 878,19p13.2,ZNF878,ENSG00000257446,protein_coding
ZFP69 zinc finger protein B,1p34.2,ZFP69B,ENSG00000187801,protein_coding
AC069063.2,3q13.31,AC069063.2,ENSG00000279380,protein_coding
PRAME family member 6,1p36.21,PRAMEF6,ENSG00000232423,protein_coding
cilia and flagella associated protein 221,2q14.2,CFAP221,ENSG00000163075,protein_coding
"family with sequence similarity 132, member B",2q37.3,FAM132B,ENSG00000178752,protein_coding
triggering receptor expressed on myeloid cells-like 2,6p21.1,TREML2,ENSG00000112195,protein_coding
"keratin 6C, type II",12q13.13,KRT6C,ENSG00000170465,protein_coding
tectonic family member 3,10q24.1,TCTN3,ENSG00000119977,protein_coding
nuclear apoptosis inducing factor 1,9q34.11,NAIF1,ENSG00000171169,protein_coding
BCL2-associated X protein,19q13.33,BAX,ENSG00000087088,protein_coding
"olfactory receptor, family 52, subfamily B, member 4 (gene/pseudogene)",11p15.4,OR52B4,ENSG00000221996,polymorphic_pseudogene
syntaphilin,20p13,SNPH,ENSG00000101298,protein_coding
"ferritin, light polypeptide",19q13.33,FTL,ENSG00000087086,protein_coding
serine threonine kinase 39,2q24.3,STK39,ENSG00000198648,protein_coding
cyclin and CBS domain divalent metal cation transport mediator 1,10q24.2,CNNM1,ENSG00000119946,protein_coding
alpha- and gamma-adaptin binding protein,15q23,AAGAB,ENSG00000103591,protein_coding
zinc finger protein 730,19p12,ZNF730,ENSG00000183850,protein_coding
"ciliary rootlet coiled-coil, rootletin pseudogene 3",1p36.13,CROCCP3,ENSG00000080947,transcribed_unprocessed_pseudogene
brain-derived neurotrophic factor,11p14.1,BDNF,ENSG00000176697,protein_coding
SIL1 nucleotide exchange factor,5q31.2,SIL1,ENSG00000120725,protein_coding
transmembrane 4 L six family member 5,17p13.2,TM4SF5,ENSG00000142484,protein_coding
TMEM189-UBE2V1 readthrough,20q13.13,TMEM189-UBE2V1,ENSG00000124208,protein_coding
"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)",4q13.3,CXCL1,ENSG00000163739,protein_coding
"family with sequence similarity 169, member A",5q13.3,FAM169A,ENSG00000198780,protein_coding
chromosome 17 open reading frame 53,17q21.31,C17orf53,ENSG00000125319,protein_coding
AP000866.1,11q24.2,AP000866.1,ENSG00000279342,protein_coding
WW domain binding protein 11 pseudogene 1,18q12.1,WBP11P1,ENSG00000260389,transcribed_processed_pseudogene
septin 2,2q37.3,2-Sep,ENSG00000168385,protein_coding
chromosome 20 open reading frame 173,20q11.22,C20orf173,ENSG00000125975,protein_coding
"solute carrier family 2 (facilitated glucose transporter), member 13",12q12,SLC2A13,ENSG00000151229,protein_coding
radial spoke head 4 homolog A (Chlamydomonas),6q22.1,RSPH4A,ENSG00000111834,protein_coding
"interleukin 1, alpha",2q14.1,IL1A,ENSG00000115008,protein_coding
vasodilator-stimulated phosphoprotein,19q13.32,VASP,ENSG00000125753,protein_coding
"Fc receptor, IgA, IgM, high affinity",1q32.1,FCAMR,ENSG00000162897,protein_coding
dachsous cadherin-related 1,11p15.4,DCHS1,ENSG00000166341,protein_coding
piggyBac transposable element derived 2,1q44,PGBD2,ENSG00000185220,protein_coding
"X-prolyl aminopeptidase 3, mitochondrial",22q13.2,XPNPEP3,ENSG00000196236,protein_coding
CTD-2510F5.6,17q22,CTD-2510F5.6,ENSG00000265303,protein_coding
chromatin target of PRMT1,1q21.3,CHTOP,ENSG00000160679,protein_coding
methyltransferase like 10,10q26.13,METTL10,ENSG00000203791,protein_coding
cholecystokinin B receptor,11p15.4,CCKBR,ENSG00000110148,protein_coding
microsomal glutathione S-transferase 3,1q24.1,MGST3,ENSG00000143198,protein_coding
PH domain and leucine rich repeat protein phosphatase 2,16q22.2,PHLPP2,ENSG00000040199,protein_coding
tyrosylprotein sulfotransferase 2,22q12.1,TPST2,ENSG00000128294,protein_coding
chromosome 1 open reading frame 233,1p36.33,C1orf233,ENSG00000228594,protein_coding
ribosomal protein L35,9q33.3,RPL35,ENSG00000136942,protein_coding
lysine (K)-specific demethylase 4E,11q21,KDM4E,ENSG00000235268,protein_coding
"solute carrier family 38, member 6",14q23.1,SLC38A6,ENSG00000139974,protein_coding
syndecan binding protein (syntenin) 2,20p13,SDCBP2,ENSG00000125775,protein_coding
otogelin,11p15.1,OTOG,ENSG00000188162,protein_coding
DEAH (Asp-Glu-Ala-Asp/His) box polypeptide 57,2p22.1,DHX57,ENSG00000163214,protein_coding
COBW domain containing 7,9p11.2,CBWD7,ENSG00000215126,protein_coding
intraflagellar transport 80,3q25.33,IFT80,ENSG00000068885,protein_coding
nitric oxide synthase interacting protein,19q13.33,NOSIP,ENSG00000142546,protein_coding
deleted in lymphocytic leukemia 1 (non-protein coding),13q14.2,DLEU1,ENSG00000176124,protein_coding
"immunoglobulin superfamily, member 22",11p15.1,IGSF22,ENSG00000179057,protein_coding
neuromedin U receptor 2,5q33.1,NMUR2,ENSG00000132911,protein_coding
annexin A7,10q22.2,ANXA7,ENSG00000138279,protein_coding
FXYD domain containing ion transport regulator 6,11q23.3,FXYD6,ENSG00000137726,protein_coding
"olfactory receptor, family 1, subfamily K, member 1",9q33.2,OR1K1,ENSG00000165204,protein_coding
ethanolamine kinase 1,12p12.1,ETNK1,ENSG00000139163,protein_coding
polyamine modulated factor 1 binding protein 1,16q22.2,PMFBP1,ENSG00000118557,protein_coding
LIM homeobox 4,1q25.2,LHX4,ENSG00000121454,protein_coding
C1q and tumor necrosis factor related protein 6,22q12.3,C1QTNF6,ENSG00000133466,protein_coding
"collagen, type VI, alpha 2",21q22.3,COL6A2,ENSG00000142173,protein_coding
"isocitrate dehydrogenase 1 (NADP+), soluble",2q34,IDH1,ENSG00000138413,protein_coding
"pleckstrin homology domain containing, family G (with RhoGef domain) member 5",1p36.31,PLEKHG5,ENSG00000171680,protein_coding
RP1-274L7.1,,RP1-274L7.1,ENSG00000229702,lincRNA
RP11-234B24.6,12p13.32,RP11-234B24.6,ENSG00000255639,protein_coding
fibrosin-like 1,12q24.33,FBRSL1,ENSG00000112787,protein_coding
heparanase 2 (inactive),10q24.2,HPSE2,ENSG00000172987,protein_coding
"hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)",14q23.2,HIF1A,ENSG00000100644,protein_coding
ubiquitin specific peptidase 38,4q31.21,USP38,ENSG00000170185,protein_coding
LIM homeobox 6,9q33.2,LHX6,ENSG00000106852,protein_coding
alpha-kinase 1,4q25,ALPK1,ENSG00000073331,protein_coding
SH2 domain containing 3C,9q34.11,SH2D3C,ENSG00000095370,protein_coding
late cornified envelope 3D,1q21.3,LCE3D,ENSG00000163202,protein_coding
SR-related CTD-associated factor 11,12q12,SCAF11,ENSG00000139218,protein_coding
centrosomal protein 164kDa,11q23.3,CEP164,ENSG00000110274,protein_coding
uncharacterized LOC399923,11q13.4,FLJ42102,ENSG00000172900,unitary_pseudogene
"enkurin, TRPC channel interacting protein",10p12.1,ENKUR,ENSG00000151023,protein_coding
"tachykinin, precursor 1",7q21.3,TAC1,ENSG00000006128,protein_coding
ESX homeobox 1,Xq22.2,ESX1,ENSG00000123576,protein_coding
CTC-340A15.2,5q34,CTC-340A15.2,ENSG00000241956,antisense
"interferon, lambda 3",19q13.2,IFNL3,ENSG00000197110,protein_coding
high mobility group nucleosomal binding domain 3,6q14.1,HMGN3,ENSG00000118418,protein_coding
neuregulin 2,5q31.2,NRG2,ENSG00000158458,protein_coding
adrenoceptor alpha 2A,10q25.2,ADRA2A,ENSG00000150594,protein_coding
transmembrane epididymal protein 1,1q25.3,TEDDM1,ENSG00000203730,protein_coding
synovial sarcoma translocation gene on chromosome 18-like 1,20q13.33,SS18L1,ENSG00000184402,protein_coding
COMM domain containing 9,11p13,COMMD9,ENSG00000110442,protein_coding
gametocyte specific factor 1,12q13.13,GTSF1,ENSG00000170627,protein_coding
single stranded DNA binding protein 3,1p32.3,SSBP3,ENSG00000157216,protein_coding
CH507-42P11.8,21p12,CH507-42P11.8,ENSG00000275993,protein_coding
phosphoglucomutase 5,9q21.11,PGM5,ENSG00000154330,protein_coding
intraflagellar transport 27,22q12.3,IFT27,ENSG00000100360,protein_coding
deoxyribose-phosphate aldolase (putative),12p12.3,DERA,ENSG00000023697,protein_coding
toll-like receptor 8,Xp22.2,TLR8,ENSG00000101916,protein_coding
CCDC169-SOHLH2 readthrough,13q13.3,CCDC169-SOHLH2,ENSG00000250709,protein_coding
"transducer of ERBB2, 2",22q13.2,TOB2,ENSG00000183864,protein_coding
bone morphogenetic protein/retinoic acid inducible neural-specific 3,1q31.1,BRINP3,ENSG00000162670,protein_coding
ecotropic viral integration site 5-like,19p13.2,EVI5L,ENSG00000142459,protein_coding
small proline-rich protein 2E,1q21.3,SPRR2E,ENSG00000203785,protein_coding
retinitis pigmentosa 9 pseudogene,7p14.3,RP9P,ENSG00000205763,transcribed_unprocessed_pseudogene
transcobalamin II,22q12.2,TCN2,ENSG00000185339,protein_coding
glial fibrillary acidic protein,17q21.31,GFAP,ENSG00000131095,protein_coding
"TROVE domain family, member 2",1q31.2,TROVE2,ENSG00000116747,protein_coding
"proteasome (prosome, macropain) subunit, alpha type, 2",7p14.1,PSMA2,ENSG00000106588,protein_coding
odorant binding protein 2B,9q34.2,OBP2B,ENSG00000171102,protein_coding
fibrous sheath interacting protein 2,2q32.1,FSIP2,ENSG00000188738,protein_coding
"phosphatidylinositol transfer protein, cytoplasmic 1",17q24.2,PITPNC1,ENSG00000154217,protein_coding
tripartite motif containing 45,1p13.1,TRIM45,ENSG00000134253,protein_coding
chromosome 6 open reading frame 226,6p21.1,C6orf226,ENSG00000221821,protein_coding
"solute carrier family 35, member E2",1p36.33,SLC35E2,ENSG00000215790,protein_coding
"solute carrier family 25 (mitochondrial iron transporter), member 28",10q24.2,SLC25A28,ENSG00000155287,protein_coding
AC018512.1,15q15.3,AC018512.1,ENSG00000279808,protein_coding
keratin associated protein 13-4,21q22.11,KRTAP13-4,ENSG00000186971,protein_coding
"tRNA nucleotidyl transferase, CCA-adding, 1",3p26.2,TRNT1,ENSG00000072756,protein_coding
ferredoxin 1,11q22.3,FDX1,ENSG00000137714,protein_coding
platelet-derived growth factor beta polypeptide,22q13.1,PDGFB,ENSG00000100311,protein_coding
"tubulin, beta 4A class IVa",19p13.3,TUBB4A,ENSG00000104833,protein_coding
podocan,1p32.3,PODN,ENSG00000174348,protein_coding
Mov10 RISC complex RNA helicase like 1,22q13.33,MOV10L1,ENSG00000073146,protein_coding
F-box protein 30,6q24.3,FBXO30,ENSG00000118496,protein_coding
"ring finger protein, LIM domain interacting",Xq13.2,RLIM,ENSG00000131263,protein_coding
ribosomal protein L3,22q13.1,RPL3,ENSG00000100316,protein_coding
"heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)",9q33.3,HSPA5,ENSG00000044574,protein_coding
chromosome 3 open reading frame 35,3p22.2,C3orf35,ENSG00000198590,lincRNA
chromosome 6 open reading frame 165,6q15,C6orf165,ENSG00000213204,protein_coding
phosphoglucomutase 3,6q14.1,PGM3,ENSG00000013375,protein_coding
LIM and calponin homology domains 1,4p13,LIMCH1,ENSG00000064042,protein_coding
RP3-510D11.2,1p36.22,RP3-510D11.2,ENSG00000234546,lincRNA
dual specificity phosphatase 8,11p15.5,DUSP8,ENSG00000184545,protein_coding
"HAUS augmin-like complex, subunit 3",4p16.3,HAUS3,ENSG00000214367,protein_coding
"phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 gamma",12p12.3,PIK3C2G,ENSG00000139144,protein_coding
centrosomal protein 95kDa,17q23.3,CEP95,ENSG00000258890,protein_coding
HLA complex group 17 (non-protein coding),6p22.1,HCG17,ENSG00000270604,lincRNA
PRAME family member 20,1p36.21,PRAMEF20,ENSG00000204478,protein_coding
leucine rich repeat containing 58,3q13.33,LRRC58,ENSG00000163428,protein_coding
NSA2 ribosome biogenesis homolog (S. cerevisiae),5q13.3,NSA2,ENSG00000164346,protein_coding
interleukin 23 receptor,1p31.3,IL23R,ENSG00000162594,protein_coding
zinc finger and SCAN domain containing 31,6p22.1,ZSCAN31,ENSG00000235109,protein_coding
"protocadherin gamma subfamily B, 7",5q31.3,PCDHGB7,ENSG00000254122,protein_coding
gastrokine 1,2p13.3,GKN1,ENSG00000169605,protein_coding
zinc finger protein 263,16p13.3,ZNF263,ENSG00000006194,protein_coding
outer dense fiber of sperm tails 4,17p13.1,ODF4,ENSG00000184650,protein_coding
tryptophan hydroxylase 1,11p15.1,TPH1,ENSG00000129167,protein_coding
up-regulated during skeletal muscle growth 5 homolog (mouse),10q24.33,USMG5,ENSG00000173915,protein_coding
"collagen, type XVII, alpha 1",10q25.1,COL17A1,ENSG00000065618,protein_coding
BRISC and BRCA1 A complex member 1,19p13.11,BABAM1,ENSG00000105393,protein_coding
"zinc finger, SWIM-type containing 5",1p34.1,ZSWIM5,ENSG00000162415,protein_coding
"interleukin 1, beta",2q14.1,IL1B,ENSG00000125538,protein_coding
zinc finger protein 445,3p21.31,ZNF445,ENSG00000185219,protein_coding
E2F-associated phosphoprotein,14q13.1,EAPP,ENSG00000129518,protein_coding
CMT1A duplicated region transcript 15,17p12,CDRT15,ENSG00000223510,protein_coding
ADAM metallopeptidase domain 2,8p11.22,ADAM2,ENSG00000104755,protein_coding
zinc finger protein 491,19p13.2,ZNF491,ENSG00000177599,protein_coding
ameloblastin (enamel matrix protein),4q13.3,AMBN,ENSG00000178522,protein_coding
nuclear assembly factor 1 ribonucleoprotein,4q32.2,NAF1,ENSG00000145414,protein_coding
"solute carrier family 39 (zinc transporter), member 2",14q11.2,SLC39A2,ENSG00000165794,protein_coding
GID complex subunit 4,17p11.2,GID4,ENSG00000141034,protein_coding
zinc finger protein 727,7q11.21,ZNF727,ENSG00000214652,protein_coding
FGF-2 activity-associated protein 3,4p14,GAFA3,ENSG00000279386,protein_coding
mitochondrial ribosomal protein L47,3q26.33,MRPL47,ENSG00000136522,protein_coding
transmembrane and coiled-coil domains 5A,15q14,TMCO5A,ENSG00000166069,protein_coding
ribonuclease/angiogenin inhibitor 1,11p15.5,RNH1,ENSG00000023191,protein_coding
"protein phosphatase, Mg2+/Mn2+ dependent, 1A",14q23.1,PPM1A,ENSG00000100614,protein_coding
CR392000.1,9q34.3,CR392000.1,ENSG00000279813,protein_coding
exportin 1,2p15,XPO1,ENSG00000082898,protein_coding
cyclic nucleotide gated channel alpha 4,11p15.4,CNGA4,ENSG00000132259,protein_coding
myristoylated alanine-rich protein kinase C substrate,6q21,MARCKS,ENSG00000277443,protein_coding
"LSM7 homolog, U6 small nuclear RNA associated (S. cerevisiae)",19p13.3,LSM7,ENSG00000130332,protein_coding
A kinase (PRKA) anchor protein 8,19p13.12,AKAP8,ENSG00000105127,protein_coding
ubiquitin-conjugating enzyme E2Q family-like 1,5p15.31,UBE2QL1,ENSG00000215218,protein_coding
PDZ domain containing 11,Xq13.1,PDZD11,ENSG00000120509,protein_coding
"solute carrier family 7 (anionic amino acid transporter light chain, xc- system), member 11",4q28.3,SLC7A11,ENSG00000151012,protein_coding
"epilepsy, progressive myoclonus type 2A, Lafora disease (laforin)",6q24.3,EPM2A,ENSG00000112425,protein_coding
"solute carrier family 16 (monocarboxylate transporter), member 7",12q14.1,SLC16A7,ENSG00000118596,protein_coding
"origin recognition complex, subunit 2",2q33.1,ORC2,ENSG00000115942,protein_coding
FIC domain containing,12q23.3,FICD,ENSG00000198855,protein_coding
"polymerase (DNA-directed), epsilon 4, accessory subunit",2p12,POLE4,ENSG00000115350,protein_coding
pleiomorphic adenoma gene-like 2,20q11.21,PLAGL2,ENSG00000126003,protein_coding
dehydrogenase/reductase (SDR family) member 11,17q12,DHRS11,ENSG00000278535,protein_coding
"phospholipase C, gamma 1",20q12,PLCG1,ENSG00000124181,protein_coding
kallikrein-related peptidase 13,19q13.41,KLK13,ENSG00000167759,protein_coding
"troponin T type 3 (skeletal, fast)",11p15.5,TNNT3,ENSG00000130595,protein_coding
oxysterol binding protein,11q12.1,OSBP,ENSG00000110048,protein_coding
"cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa, tau variant",10q21.1,CSTF2T,ENSG00000177613,protein_coding
ankyrin repeat domain 40,17q21.33,ANKRD40,ENSG00000154945,protein_coding
AC016753.2,2p11.2,AC016753.2,ENSG00000281331,protein_coding
sulfite oxidase,12q13.2,SUOX,ENSG00000139531,protein_coding
elongator acetyltransferase complex subunit 2,18q12.2,ELP2,ENSG00000134759,protein_coding
"taste receptor, type 2, member 9",12p13.2,TAS2R9,ENSG00000121381,protein_coding
"solute carrier family 25 (pyrimidine nucleotide carrier), member 36",3q23,SLC25A36,ENSG00000114120,protein_coding
ubiquitin specific peptidase 17-like family member 20,4p16.1,USP17L20,ENSG00000250745,protein_coding
"phosphatidylinositol-5-phosphate 4-kinase, type II, alpha",10p12.2,PIP4K2A,ENSG00000150867,protein_coding
dual specificity phosphatase 4,8p12,DUSP4,ENSG00000120875,protein_coding
retinol dehydrogenase 8 (all-trans),19p13.2,RDH8,ENSG00000080511,protein_coding
"ribosomal protein S4, X-linked",Xq13.1,RPS4X,ENSG00000198034,protein_coding
"neurogranin (protein kinase C substrate, RC3)",11q24.2,NRGN,ENSG00000154146,protein_coding
PEST proteolytic signal containing nuclear protein,3q12.3,PCNP,ENSG00000081154,protein_coding
NEDD4 binding protein 2-like 2,13q13.1,N4BP2L2,ENSG00000244754,protein_coding
coiled-coil domain containing 129,7p14.3,CCDC129,ENSG00000180347,protein_coding
"nuclear receptor subfamily 4, group A, member 3",9q31.1,NR4A3,ENSG00000119508,protein_coding
radical S-adenosyl methionine domain containing 2,2p25.2,RSAD2,ENSG00000134321,protein_coding
nucleoporin 35kDa,2q32.1,NUP35,ENSG00000163002,protein_coding
chromosome 12 open reading frame 74,12q22,C12orf74,ENSG00000214215,protein_coding
"phosphodiesterase 1A, calmodulin-dependent",2q32.1,PDE1A,ENSG00000115252,protein_coding
"family with sequence similarity 199, X-linked",Xq22.2,FAM199X,ENSG00000123575,protein_coding
RP11-71H17.7,3q21.2,RP11-71H17.7,ENSG00000260391,sense_overlapping
glucosamine-6-phosphate deaminase 2,4p12,GNPDA2,ENSG00000163281,protein_coding
chromosome 6 open reading frame 15,6p21.33,C6orf15,ENSG00000204542,protein_coding
R-spondin 4,20p13,RSPO4,ENSG00000101282,protein_coding
ataxin 2-like,16p11.2,ATXN2L,ENSG00000168488,protein_coding
zinc finger protein 707,8q24.3,ZNF707,ENSG00000181135,protein_coding
schlafen family member 11,17q12,SLFN11,ENSG00000172716,protein_coding
F-box and leucine-rich repeat protein 19,16p11.2,FBXL19,ENSG00000099364,protein_coding
cyclin-dependent kinase 1,10q21.2,CDK1,ENSG00000170312,protein_coding
SWAP switching B-cell complex 70kDa subunit,11p15.4,SWAP70,ENSG00000133789,protein_coding
"phosphodiesterase 4D, cAMP-specific",5q11.2,PDE4D,ENSG00000113448,protein_coding
cerebral dopamine neurotrophic factor,10p13,CDNF,ENSG00000185267,protein_coding
"family with sequence similarity 111, member B",11q12.1,FAM111B,ENSG00000189057,protein_coding
"FYVE, RhoGEF and PH domain containing 2",6p21.2,FGD2,ENSG00000146192,protein_coding
lipoma HMGIC fusion partner-like 1,Xq23,LHFPL1,ENSG00000182508,protein_coding
"NSL1, MIS12 kinetochore complex component",1q32.3,NSL1,ENSG00000117697,protein_coding
regulation of nuclear pre-mRNA domain containing 1A,18q12.2,RPRD1A,ENSG00000141425,protein_coding
"ribonuclease, RNase A family, 12 (non-active)",14q11.2,RNASE12,ENSG00000258436,protein_coding
tripartite motif containing 48,11q11,TRIM48,ENSG00000150244,protein_coding
"RAB5B, member RAS oncogene family",12q13.2,RAB5B,ENSG00000111540,protein_coding
Rho GTPase activating protein 19,10q24.1,ARHGAP19,ENSG00000213390,protein_coding
"defensin, beta 103A",8p23.1,DEFB103A,ENSG00000176797,protein_coding
ankyrin repeat and zinc finger domain containing 1,2q35,ANKZF1,ENSG00000163516,protein_coding
chromosome 8 open reading frame 31,8q24.3,C8orf31,ENSG00000177335,processed_transcript
"serine peptidase inhibitor, Kunitz type, 3",20q13.12,SPINT3,ENSG00000101446,protein_coding
"trans-2,3-enoyl-CoA reductase-like",4q13.1,TECRL,ENSG00000205678,protein_coding
AL589743.1,14q11.2,AL589743.1,ENSG00000279508,protein_coding
WD repeat domain 31,9q32,WDR31,ENSG00000148225,protein_coding
Kv channel interacting protein 4,4p15.31,KCNIP4,ENSG00000185774,protein_coding
RAB interacting factor,1q32.1,RABIF,ENSG00000183155,protein_coding
PR domain containing 5,4q27,PRDM5,ENSG00000138738,protein_coding
zinc finger protein 446,19q13.43,ZNF446,ENSG00000083838,protein_coding
tRNA methyltransferase 10 homolog C (S. cerevisiae),3q12.3,TRMT10C,ENSG00000174173,protein_coding
enhancer of rudimentary homolog (Drosophila),14q24.1,ERH,ENSG00000100632,protein_coding
glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase,9p13.3,GNE,ENSG00000159921,protein_coding
"interleukin 10 receptor, beta",21q22.11,IL10RB,ENSG00000243646,protein_coding
glyoxylate reductase 1 homolog (Arabidopsis),16p13.3,GLYR1,ENSG00000140632,protein_coding
cyclin-dependent kinase-like 4,2p22.1,CDKL4,ENSG00000205111,protein_coding
leucine zipper-EF-hand containing transmembrane protein 1,4p16.3,LETM1,ENSG00000168924,protein_coding
"ring finger protein 138, E3 ubiquitin protein ligase",18q12.1,RNF138,ENSG00000134758,protein_coding
patched domain containing 2,1p36.22,PTCHD2,ENSG00000204624,protein_coding
